Qui,URL,Année,Titre,Non-applicable,Appliquée,Déductible,Non-déductible,Commentaires,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi,el,da,ms,ca,is,eu,sr,gl,cy,ast,et,bg,sl,hu,ta,fa,sa,id,cr,ctn,iu,mux,yuw,byx,st,roh,yua,la,kij,no,sk,af,sux,mk,te,mwf,zgh,ps,ks,bn,gu,ml,ga,lv
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/20.pdf,2002,"Three New Corpora at the Bavarian Archive for Speech Signals - and a First Step Towards Distributed Web-Based Recording",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/21.pdf,2002,"n-grams of Seeds: A Hybrid System for Corpus-Based Text Summarization",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/22.pdf,2002,"Building a Resource for Evaluating the Importance of Sentences",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/23.pdf,2002,"A Subcategorisation Lexicon for German Verbs induced from a Lexicalised PCFG",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/24.pdf,2002,"Evaluation of Pronunciation Variants in the ASR Lexicon for Different Speaking Styles",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/25.pdf,2002,"LAperLA:  an integrated graphical-linguistic System for old printed Latin Texts",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/26.pdf,2002,"Computerized linguistic resources of the research laboratory ATILF for lexical  and textual analysis : Frantext, TLFi, and the software Stella",,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/27.pdf,2002,"Automatic extraction of differences between spoken and written languages, and automatic translation from the written to the spoken language",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/28.pdf,2002,"Automatic detection of prosodic prominence in continuous speech",,x,,,variante,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/29.pdf,2002,"A dynamic model for reference corpora structure definition",,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/30.pdf,2002,"An ontology-based approach in the literary research: two case-studies  ",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/32.pdf,2002,"Lexical token alignment: experiments, results and applications ",,x,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
